City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.62,clear sky,-9.8,-139.03,Villa Enata
3,Mmathubudukwane,BW,77.54,broken clouds,-24.6,26.43,Gill Sleepover Guesthouse
4,Rikitea,PF,74.03,overcast clouds,-23.12,-134.97,Pension Maro'i
9,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
10,Cabo San Lucas,MX,87.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
12,Mataura,NZ,73.0,overcast clouds,-46.19,168.86,Ellie's Villa
14,Saint-Philippe,RE,71.6,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
15,Piranhas,BR,75.65,heavy intensity rain,-16.43,-51.82,Hotel Brasil
16,Boyolangu,ID,81.64,few clouds,-8.12,111.89,Yos ega cv
20,Ulladulla,AU,78.01,moderate rain,-35.35,150.47,Sandpiper Motel
22,Lorengau,PG,85.73,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
24,Bluff,NZ,73.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
26,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Matara,LK,77.72,light rain,5.95,80.54,Amaloh Boutique Resort
29,Dzaoudzi,YT,78.8,clear sky,-12.79,45.27,Le Rocher
31,Rawson,AR,71.91,overcast clouds,-43.3,-65.1,Hotel Punta León
32,Hithadhoo,MV,82.42,few clouds,-0.6,73.08,Scoop Guest House
40,Horn Lake,US,73.4,overcast clouds,34.96,-90.03,"Hilton Garden Inn Memphis/Southaven, MS"
41,Hilo,US,87.8,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
42,Sao Joao Da Barra,BR,73.11,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
43,Kieta,PG,83.77,moderate rain,-6.22,155.63,
44,Kavieng,PG,84.61,broken clouds,-2.57,150.8,Nusa Island Retreat
48,Santa Isabel Do Rio Negro,BR,74.97,moderate rain,-0.41,-65.02,Hotel GSA
51,Canjulao,PH,80.13,overcast clouds,9.66,124.35,Dine & Sign and IDEA Pension House
55,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
59,Jamestown,US,70.0,light rain,42.1,-79.24,Hampton Inn & Suites Jamestown
64,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
70,Butaritari,KI,81.77,clear sky,3.07,172.79,Isles Sunset Lodge
71,Bonito,BR,70.54,overcast clouds,-21.12,-56.48,Marruá Hotel
72,Saposoa,PE,72.45,moderate rain,-6.93,-76.77,Hostal Primavera
77,Arraial Do Cabo,BR,73.4,scattered clouds,-22.97,-42.03,Pousada Porto Praia
78,Bengkulu,ID,77.77,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
80,Faanui,PF,79.12,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
87,Itoman,JP,73.4,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
88,Lethem,GY,83.93,clear sky,3.38,-59.8,Savannah Inn
89,Inhambane,MZ,71.13,broken clouds,-23.86,35.38,Oceano
90,San Pedro De Macoris,DO,82.99,few clouds,18.46,-69.3,Apartahotel Guaraguao
92,Kuala Terengganu,MY,78.8,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
95,Albina,SR,76.84,overcast clouds,5.5,-54.05,Hudace
98,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
104,Ipora,BR,73.45,light rain,-16.44,-51.12,Oásis Motel
105,Mount Isa,AU,82.4,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
106,Avarua,CK,78.8,overcast clouds,-21.21,-159.78,Paradise Inn
113,Diamantino,BR,75.85,moderate rain,-14.41,-56.45,Hotel Delta
115,Tura,IN,70.18,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
117,Kapaa,US,82.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
125,Qena,EG,73.4,clear sky,26.16,32.72,"Grand hotel ""Quena"""
128,Trairi,BR,79.29,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
132,Antsohihy,MG,73.04,clear sky,-14.88,47.99,Hotel de Ville
136,Adrar,MR,86.36,broken clouds,20.5,-10.07,
141,Araceli,PH,79.02,heavy intensity rain,10.55,119.99,JBryan Traveler's Inn
148,Iquitos,PE,71.6,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
149,Jaru,BR,74.75,light rain,-10.44,-62.47,Hotel Paraná
151,Bria,CF,70.99,overcast clouds,6.54,21.99,
152,Samarai,PG,83.21,broken clouds,-10.62,150.67,Nuli Sapi
162,San-Pedro,CI,76.08,overcast clouds,4.75,-6.64,Hotel Maria
163,Alta Floresta,BR,72.16,light rain,-9.88,-56.09,Floresta Amazonica Hotel
165,Vao,NC,73.92,clear sky,-22.67,167.48,Hotel Kou-Bugny
166,Qandala,SO,79.18,overcast clouds,11.47,49.87,
168,Satipo,PE,75.25,overcast clouds,-11.25,-74.64,Hotel Mayros
171,Puerto Carreno,CO,75.69,heavy intensity rain,6.19,-67.49,Casa Hotel Victoria
178,Mitu,CO,73.09,overcast clouds,1.2,-70.17,
181,Manado,ID,87.8,few clouds,1.49,124.85,Aryaduta Hotel
