City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.87,121.9,57.2,82,90,5.82,overcast clouds
1,Atuona,PF,-9.8,-139.03,78.62,71,0,17.83,clear sky
2,Yar-Sale,RU,66.83,70.83,21.24,96,100,8.7,overcast clouds
3,Mmathubudukwane,BW,-24.6,26.43,77.54,33,78,8.43,broken clouds
4,Rikitea,PF,-23.12,-134.97,74.03,81,100,14.99,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,42.8,70,75,9.17,broken clouds
6,Hay River,CA,60.82,-115.8,23.0,67,40,4.7,scattered clouds
7,Puerto Ayora,EC,-0.74,-90.35,69.01,92,52,1.01,broken clouds
8,Talnakh,RU,69.49,88.4,-5.8,83,40,6.71,scattered clouds
9,Mahebourg,MU,-20.41,57.7,73.4,73,40,9.17,scattered clouds
10,Cabo San Lucas,MX,22.89,-109.91,87.8,58,5,10.29,clear sky
11,Westport,US,41.14,-73.36,63.0,93,90,9.17,overcast clouds
12,Mataura,NZ,-46.19,168.86,73.0,48,99,13.0,overcast clouds
13,Deputatskiy,RU,69.3,139.9,7.39,92,100,2.48,overcast clouds
14,Saint-Philippe,RE,-21.36,55.77,71.6,68,40,3.36,scattered clouds
15,Piranhas,BR,-16.43,-51.82,75.65,81,100,4.43,heavy intensity rain
16,Boyolangu,ID,-8.12,111.89,81.64,72,24,4.7,few clouds
17,Iranshahr,IR,27.2,60.68,62.6,18,0,3.91,clear sky
18,Guerrero Negro,MX,27.98,-114.06,68.2,76,0,13.73,clear sky
19,Tasiilaq,GL,65.61,-37.64,33.8,59,100,11.41,overcast clouds
20,Ulladulla,AU,-35.35,150.47,78.01,61,100,6.93,moderate rain
21,Chimbote,PE,-9.09,-78.58,61.79,86,67,4.68,broken clouds
22,Lorengau,PG,-2.02,147.27,85.73,61,90,6.04,overcast clouds
23,Hobart,AU,-42.88,147.33,62.01,62,75,12.75,shower rain
24,Bluff,NZ,-46.6,168.33,73.0,48,100,13.0,overcast clouds
25,Norman Wells,CA,65.28,-126.83,28.4,100,75,2.24,broken clouds
26,Vaini,TO,-21.2,-175.2,77.0,78,75,9.17,broken clouds
27,Cape Town,ZA,-33.93,18.42,62.01,93,90,6.93,mist
28,Matara,LK,5.95,80.54,77.72,87,77,8.77,light rain
29,Dzaoudzi,YT,-12.79,45.27,78.8,78,0,3.36,clear sky
30,Ratne,UA,51.67,24.53,50.61,85,100,6.87,overcast clouds
31,Rawson,AR,-43.3,-65.1,71.91,43,100,27.02,overcast clouds
32,Hithadhoo,MV,-0.6,73.08,82.42,78,12,10.87,few clouds
33,Ostrovnoy,RU,68.05,39.51,29.25,97,100,7.14,overcast clouds
34,Busselton,AU,-33.65,115.33,68.0,33,0,10.31,clear sky
35,Punta Arenas,CL,-53.15,-70.92,44.6,75,75,5.82,broken clouds
36,Constitucion,CL,-35.33,-72.42,50.29,82,0,10.25,clear sky
37,Bredasdorp,ZA,-34.53,20.04,66.2,93,62,2.24,broken clouds
38,New Norfolk,AU,-42.78,147.06,62.01,56,99,5.01,overcast clouds
39,Nyurba,RU,63.28,118.33,24.48,95,2,6.98,clear sky
40,Horn Lake,US,34.96,-90.03,73.4,69,90,14.99,overcast clouds
41,Hilo,US,19.73,-155.09,87.8,55,20,12.75,few clouds
42,Sao Joao Da Barra,BR,-21.64,-41.05,73.11,80,100,13.91,overcast clouds
43,Kieta,PG,-6.22,155.63,83.77,72,97,3.6,moderate rain
44,Kavieng,PG,-2.57,150.8,84.61,62,84,3.98,broken clouds
45,Albany,US,42.6,-73.97,64.99,82,4,6.67,clear sky
46,Buin,CL,-33.73,-70.75,66.99,55,0,10.29,clear sky
47,Kodinsk,RU,58.69,99.18,31.91,97,73,4.85,broken clouds
48,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,74.97,94,100,1.72,moderate rain
49,Vila Franca Do Campo,PT,37.72,-25.43,66.2,77,20,16.11,few clouds
50,Slobodskoy,RU,58.73,50.18,35.85,97,100,8.34,overcast clouds
51,Canjulao,PH,9.66,124.35,80.13,80,100,4.27,overcast clouds
